host_name,host_since,host_response_time,host_id,host_about
Sasha,11/26/10,within an hour,300211,"""Love is Love"" :)
I'm originally from Florida, but call Texas home.  Things I can't live without are coffee, family & friends, my dog, traveling and love. 

When I travel, I love having the comforts of home all while enjoying a new city. This was my thought when I wanted my home to a part of AirBNB. You will enjoy all the comforts of a home . . . Who doesn't like a clean, modern apartment all to themselves? All in the heart of Dallas. Come visit and stay awhile . . . You will love it!"
Robert,11/17/11,within a few hours,1417982,"I am a super host myself, I know how important it is to get a good guest.  As your guest, I will take care of your place as if it is my own.  I prefer quiet and there will be NO parties, pets, smoking, or drugs.  "
Michelle,11/19/12,N/A,4191322,"I enjoy living in such a invigorating and upbeat neighborhood. On any day I can take advantage of a occasional stage play,  go to a park and listen to some live music, or sunbathe on a nearby rooftop patio.
 My hobbies include traveling, skiing, golfing, boating, and attending social events with  my friends. My life's motto is ""live like there's no tomorrow""!"
Rodney,7/11/11,N/A,804559,Bookmaker (both print and electronic) to major associations; editor and photographer
Judy,12/27/12,within an hour,4505460,"Former high school teacher and tennis coach, I work full time now as a PR person for local neighborhood heroes and small businesses and non-profit agencies. My home is well laid out so everybody has their own space, nobody lives above or below you! Quiet neighborhood, lots of trees. A great place to live! Kind neighbors and so a great place to walk about. White Rock lake is five blocks away.
"
Joan,4/23/13,within an hour,6063232,"Hello, I am Joan.  I was born in Czechoslovakia and I have lived in Czechoslovakia, Austria, Canada and now Dallas, TX.  I have traveled extensively in Europe, Canada, Costa Rica and the United States.  My favorite places are Tuscany, Italy; Prague, Czech Republic; Toronto, Canada; San Jose, Costa Rica; and southern California, plus Dallas.  I speak fluent Czech, understand most Slavic languages, and even speak a little German.  I enjoy life, exercise, the coasts and the beach, good dining, theatre, music and travel.  I love my work managing my apartments and caring for my tenants and guests."
C. F. Sandy,6/13/13,within a few hours,6904484,"We have a warm two story home with two bedrooms and two baths downstairs for our guests. It is always most enjoyable making new friends and providing a pleasant comfortable home for people while they are visiting Dallas. I have traveled extensively through Europe, South America, and the Orient and welcome the stories of enchanting places others have visited."
Holly,10/9/12,within an hour,3809024,"Photographer who loves to dance.  Widow. Two grown children.  Interested in museums, the arts, dancing, cooking and outdoors. I have been a freelance photographer for 45 years. My daughter is an actress and singer, my son is an independent IOS developer and blogs at : biketoeverything. I travel all the time to see new places, to dance workshops and to visit family and friends. Recently I moved to Paris, France and I go back and forth."
Joan,4/23/13,within an hour,6063232,"Hello, I am Joan.  I was born in Czechoslovakia and I have lived in Czechoslovakia, Austria, Canada and now Dallas, TX.  I have traveled extensively in Europe, Canada, Costa Rica and the United States.  My favorite places are Tuscany, Italy; Prague, Czech Republic; Toronto, Canada; San Jose, Costa Rica; and southern California, plus Dallas.  I speak fluent Czech, understand most Slavic languages, and even speak a little German.  I enjoy life, exercise, the coasts and the beach, good dining, theatre, music and travel.  I love my work managing my apartments and caring for my tenants and guests."
Jeffrey,10/21/13,within an hour,9557710,"Following 15 years tied to a desk, I quit my finance job and decided to take a break from work to go see the world.  I live with my husband Aaron who is a high school Choir Director.  We both share a love of traveling, meeting new people and learning about different places and cultures and for us staying with locals is the only way to travel. During my hiatus from work we are now enjoying the hosting side of Airbnb.  When school is out or on long weekends we will often leave town and rent out our entire home.  When we're in town we rent out our guest room(s).   Collectively, we have visited over 60 countries and nearly all 50 states and are constantly looking for new and exciting places to explore.  We look forward to adding you to our growing list of friends from all over the world whether we are hosting you in our home or visiting yours.  "
Jeffrey,10/21/13,within an hour,9557710,"Following 15 years tied to a desk, I quit my finance job and decided to take a break from work to go see the world.  I live with my husband Aaron who is a high school Choir Director.  We both share a love of traveling, meeting new people and learning about different places and cultures and for us staying with locals is the only way to travel. During my hiatus from work we are now enjoying the hosting side of Airbnb.  When school is out or on long weekends we will often leave town and rent out our entire home.  When we're in town we rent out our guest room(s).   Collectively, we have visited over 60 countries and nearly all 50 states and are constantly looking for new and exciting places to explore.  We look forward to adding you to our growing list of friends from all over the world whether we are hosting you in our home or visiting yours.  "
Holly,10/9/12,within an hour,3809024,"Photographer who loves to dance.  Widow. Two grown children.  Interested in museums, the arts, dancing, cooking and outdoors. I have been a freelance photographer for 45 years. My daughter is an actress and singer, my son is an independent IOS developer and blogs at : biketoeverything. I travel all the time to see new places, to dance workshops and to visit family and friends. Recently I moved to Paris, France and I go back and forth."
Joan,4/23/13,within an hour,6063232,"Hello, I am Joan.  I was born in Czechoslovakia and I have lived in Czechoslovakia, Austria, Canada and now Dallas, TX.  I have traveled extensively in Europe, Canada, Costa Rica and the United States.  My favorite places are Tuscany, Italy; Prague, Czech Republic; Toronto, Canada; San Jose, Costa Rica; and southern California, plus Dallas.  I speak fluent Czech, understand most Slavic languages, and even speak a little German.  I enjoy life, exercise, the coasts and the beach, good dining, theatre, music and travel.  I love my work managing my apartments and caring for my tenants and guests."
Jan,3/10/14,within an hour,12993311,"I live in this 5 bedroom house with my dogs Daisy, Jacques and Cora in old East Dallas.. 2.2 miles  to the cotton bowl and 2.7 to downtown Dallas.  

I work at SMU and keep myself busy volunteering at the Dallas Museum of Art, with friends and book clubs but I love my quite down time at home, what little of it I have.

I love to garden, walk my dogs on the Santa Fe Trail 2 blocks from the house, and visit with a cup of tea or glass of wine."
Judith,2/17/14,within a few hours,12321313,"Professional woman with elegant two-story house in beautiful, quiet and safe neighborhood.  Two to five minutes to Dallas North Tollway or George Bush Tollway to all major highways in DFW Metroplex. Love to provide comfort for guests, including healthy, delicious food.  "
