restaurant_id,restaurant_name,cuisine,city,state,address,phone_number,email,delivery_available,seating_capacity,opening_hours,has_wifi,has_outdoor_seating,payment_methods,parking_available,alcohol_served,reservation_required,music_type,health_rating,has_kids_menu
9000000000,Brock-West Cafe,Vegan,Kariton,Florida,900 Amanda Streets Apt. 479,(847) 692-4685,brock-westcafe@gmail.com,Yes,40,1:00 PM - 10:00 PM,No,No,"Google Pay, Cash",Yes,Yes,No,Pop,92,Yes
9000000001,Bailey-Barnett Bistro,Mexican,Henryville,Iowa,347 Johnson Field Suite 064,(251) 582-9616,bailey-barnettbistro@gmail.com,Yes,40,11:00 AM - 11:00 PM,Yes,Yes,"Cash, Credit Card",No,Yes,Yes,Live,82,No
9000000002,Juarez-Fox Bistro,Indian,Stephenborough,Connecticut,8463 Zuniga Plains Suite 677,(418) 738-1018,juarez-foxbistro@gmail.com,Yes,100,1:00 PM - 10:00 PM,No,No,"Credit Card, Google Pay",Yes,No,No,Instrumental,83,Yes
9000000003,Vargas LLC Grill,Japanese,New Kiara,Illinois,6277 Gilmore Junction,(343) 710-5035,vargasllcgrill@gmail.com,No,100,9:00 AM - 5:00 PM,No,No,"Credit Card, Google Pay",Yes,No,Yes,Instrumental,88,Yes
9000000004,James Ltd Cafe,Japanese,New Derek,Indiana,8713 Hughes Extensions,(488) 962-3459,jamesltdcafe@gmail.com,Yes,40,12:00 PM - 9:00 PM,No,No,"Cash, Credit Card, Apple Pay",Yes,No,No,Live,89,No
9000000005,"Peters, Figueroa and Cole Grill",Chinese,South Benjaminside,South Dakota,3451 Allen Terrace Suite 048,(255) 619-7105,petersfigueroaandcolegrill@gmail.com,No,60,9:00 AM - 5:00 PM,Yes,No,"Credit Card, Google Pay",Yes,Yes,Yes,Instrumental,85,No
9000000006,Anderson PLC Bar,Greek,Saundersfort,Florida,52493 Jay Mill,(634) 581-6699,andersonplcbar@gmail.com,No,60,12:00 PM - 9:00 PM,Yes,Yes,"Google Pay, Cash",Yes,No,No,Pop,84,Yes
9000000007,Brown-Hicks Kitchen,Mexican,Hansonport,Kansas,74422 Brown Forest,(262) 402-9479,brown-hickskitchen@gmail.com,No,40,7:00 AM - 3:00 PM,No,Yes,"Credit Card, Google Pay",Yes,No,Yes,Jazz,88,No
9000000008,"Delgado, Peters and Pacheco Bar",Japanese,East Brandonmouth,Maryland,3577 Brady Ramp Apt. 502,(962) 922-2777,delgadopetersandpachecobar@gmail.com,Yes,60,7:00 AM - 3:00 PM,Yes,Yes,"Cash, Credit Card",No,Yes,Yes,Jazz,82,Yes
9000000009,"Hamilton, Nelson and Davis Bistro",French,Jennifertown,Iowa,5568 Cooper Forges Suite 546,(806) 411-6491,hamiltonnelsonanddavisbistro@gmail.com,No,40,9:00 AM - 5:00 PM,No,Yes,Credit Card Only,Yes,No,Yes,Live,90,Yes
9000000010,Blankenship Group Cafe,Chinese,Huertaville,Georgia,95816 Julie Cape,(592) 410-2988,blankenshipgroupcafe@gmail.com,No,100,11:00 AM - 11:00 PM,Yes,Yes,"Cash, Credit Card",No,No,Yes,Live,92,Yes
9000000011,Mann LLC Diner,Indian,West Samantha,,95752 Woods Mountain Apt. 814,(628) 684-6138,mannllcdiner@gmail.com,No,60,8:00 AM - 4:00 PM,No,No,Cash Only,No,Yes,Yes,Instrumental,92,Yes
9000000012,Walker and Sons Kitchen,French,West Katrinafort,Wisconsin,13554 Jesse Circles,(285) 557-5352,walkerandsonskitchen@gmail.com,Yes,80,10:00 AM - 10:00 PM,No,No,Cash Only,Yes,Yes,Yes,Jazz,88,No
9000000013,Bowman-Jones Diner,Indian,North Ashley,New Mexico,38115 Curry Bypass Suite 904,(542) 588-5478,bowman-jonesdiner@gmail.com,Yes,20,7:00 AM - 3:00 PM,No,Yes,"Cash, Credit Card",No,No,No,Pop,84,No
9000000014,Smith-Tran Bistro,Indian,South Ashley,Maine,889 Cooper Ridge Suite 562,(298) 792-5008,smith-tranbistro@gmail.com,Yes,20,10:00 AM - 10:00 PM,No,No,"Credit Card, Apple Pay",No,No,Yes,Pop,81,No
9000000015,"Davis, Vaughan and Hurley Diner",Vegan,Shannontown,Georgia,46030 Douglas Squares Apt. 548,(279) 823-4226,davisvaughanandhurleydiner@gmail.com,Yes,80,9:00 AM - 5:00 PM,No,No,"Cash, Credit Card",Yes,Yes,Yes,Live,93,Yes
9000000016,"Lee, Armstrong and Smith Bar",American,New Brianstad,New Hampshire,1549 Erica Turnpike Suite 082,(374) 508-5032,leearmstrongandsmithbar@gmail.com,No,20,12:00 PM - 9:00 PM,Yes,No,All Methods,No,Yes,Yes,Jazz,83,Yes
